                           |                      2 degrees                                     6 degrees                                  10.5 degrees                                  15.5 degrees                                    20 degrees                                  24.5 degrees                                    30 degrees                                  35.5 degrees                                    41 degrees                                    48 degrees                                    55 degrees                                    60 degrees                                    65 degrees                                  71.5 degrees                                  77.5 degrees                                  83.5 degrees                                    91 degrees                                    99 degrees                                 106.5 degrees                                   114 degrees                                 121.5 degrees                                 128.5 degrees                                   136 degrees                                   145 degrees                                 155.5 degrees                                 165.5 degrees                                   175 degrees                | Angle-integrated DXS
       Energy   Energy bin |                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error                   DDXS                  Error |                    DXS                  Error
        (MeV)        (MeV) |            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV)            (mb/sr/MeV) |               (mb/MeV)               (mb/MeV)
---------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------
         0.25          0.5 |                210.346                8.09022                206.636                4.63328                202.438                3.10672                201.771                2.56125                 201.49                2.52932                201.115                2.05273                198.749                 1.6966                199.669                1.72843                 200.06                1.48601                 200.09                1.20947                204.146                1.34339                203.689                1.59817                203.131                1.27398                203.445                1.15404                203.397                1.34541                203.027                1.12629                204.899                1.05517                205.062                1.06207                203.302                 1.1473                202.781                1.09817                200.275                1.20755                206.195                1.27892                203.865                1.26272                203.608                1.24241                201.906                1.38751                200.427                1.96639                207.751                 3.2195 |                2550.07                3.48492
         0.75          0.5 |                318.008                9.94746                318.941                5.75626                318.008                3.89382                322.424                 3.2377                 323.89                3.20683                325.652                2.61208                323.157                2.16339                321.804                2.19428                  321.1                1.88261                319.915                1.52933                315.691                1.67056                313.622                1.98308                310.989                1.57633                312.761                1.43088                307.308                1.65375                307.989                1.38721                302.105                1.28125                299.669                 1.2839                 297.21                 1.3872                291.964                1.31771                292.298                1.45883                287.265                1.50954                285.768                  1.495                 284.09                1.46756                281.085                1.63712                284.213                 2.3416                278.499                3.72759 |                3807.98                4.25858
         1.25          0.5 |                314.585                9.89378                314.266                5.71392                309.474                3.84121                310.394                3.17673                307.474                3.12451                306.146                2.53264                309.572                2.11742                306.887                2.14282                305.129                 1.8352                300.622                 1.4825                302.139                1.63431                296.945                1.92964                296.463                1.53907                 291.61                1.38165                287.649                1.59997                286.846                1.33875                283.326                1.24078                278.843                1.23848                277.314                1.33996                276.109                1.28143                271.526                1.40604                270.281                1.46423                267.404                1.44617                 263.31                1.41287                261.472                1.57897                260.368                2.24122                261.685                3.61332 |                3578.08                4.12802
         1.75          0.5 |                281.291                9.35559                286.943                5.45988                289.068                3.71241                274.891                2.98953                277.311                 2.9673                276.436                2.40662                279.114                2.01057                275.048                2.02862                275.967                 1.7453                272.416                1.41124                271.623                1.54958                267.765                1.83238                263.951                1.45223                262.204                1.31014                259.455                1.51954                257.998                1.26965                252.114                1.17045                251.714                1.17669                246.805                1.26411                244.316                 1.2054                241.048                1.32478                240.852                1.38222                238.411                1.36552                236.746                1.33971                230.769                1.48337                231.179                2.11186                236.839                 3.4375 |                3205.71                3.90733
         2.25          0.5 |                245.507                8.74028                244.867                5.04372                246.301                3.42681                248.393                 2.8418                 248.64                2.80972                251.294                2.29457                247.034                 1.8915                240.695                1.89771                242.842                1.63721                 241.36                1.32836                237.491                1.44895                238.774                1.73034                233.869                1.36698                229.643                1.22609                228.823                1.42703                225.995                 1.1883                 223.01                1.10082                219.578                1.09902                218.518                1.18946                213.634                1.12717                211.947                1.24224                210.042                1.29079                206.791                1.27175                206.087                1.24996                204.337                1.39584                206.215                1.99458                203.061                3.18295 |                2819.91                3.66467
         2.75          0.5 |                213.768                8.15577                207.779                4.64608                223.035                3.26094                211.915                2.62485                 217.08                2.62535                218.547                2.13984                212.609                1.75476                215.918                1.79738                212.047                1.52988                212.511                1.24645                207.267                1.35361                207.702                1.61383                202.372                 1.2716                203.235                1.15344                202.258                1.34164                199.097                1.11534                196.596                1.03357                191.877                1.02736                189.952                1.10899                188.311                1.05826                184.898                1.16027                183.278                1.20575                181.106                1.19015                179.599                1.16686                177.591                1.30129                176.196                1.84369                172.328                 2.9322 |                2467.64                3.42814
         3.25          0.5 |                 182.03                7.52601                 198.74                 4.5439                 191.52                3.02178                190.034                2.48564                188.028                2.44337                193.489                2.01343                192.072                1.66786                189.031                1.68175                 186.55                1.43495                185.827                1.16557                185.352                1.28005                180.567                1.50472                 176.78                1.18848                177.842                1.07898                175.729                1.25056                172.499                1.03817                172.209               0.967345                 169.06                0.96434                164.565                1.03223                163.155               0.985043                160.973                 1.0826                158.085                1.11982                156.469                1.10624                155.528                1.08586                154.402                1.21336                152.659                1.71614                147.332                2.71122 |                 2155.7                3.20414
